joint,joint_index,p10_p90_envelope_overlap_percent,mean_abs_median_gap
shoulder_pan.pos,0,63.986693238459324,6.545294220773228
shoulder_lift.pos,1,65.4685030092282,12.643474161066479
elbow_flex.pos,2,71.79797706577816,12.201717968566875
wrist_flex.pos,3,47.831200191813586,15.527316011768757
wrist_roll.pos,4,49.462595500272265,5.5411809384940875
gripper.pos,5,43.17409665225022,4.476146472864368
