dataset,dataset_label,joint,joint_index,phase_percent,p10,p25,p50_median,p75,p90
sim,Simulation,shoulder_pan.pos,0,70,-63.14989189147949,-40.010988616943365,-0.19780221562832412,35.84615421295166,59.4496713256836
sim,Simulation,shoulder_pan.pos,0,71,-64.15833071899414,-40.110769577026375,-1.0549450814723969,34.302856245040914,60.73081659317017
sim,Simulation,shoulder_pan.pos,0,72,-63.509099166870115,-37.498021545410154,-3.4479121160507202,34.93098915100097,59.171162170410206
sim,Simulation,shoulder_pan.pos,0,73,-61.26268033981323,-38.84483252525331,-2.0641758632659655,32.2250541114807,59.48834915161136
sim,Simulation,shoulder_pan.pos,0,74,-57.47164752960204,-40.24219877243042,-2.6813185811042786,29.981537475585938,52.18320771789556
sim,Simulation,shoulder_pan.pos,0,75,-55.520878887176515,-39.236263990402215,-2.2967033386230478,28.96703290939331,52.149451065063474
sim,Simulation,shoulder_pan.pos,0,76,-54.6236478881836,-32.74197826385499,-2.3032967495918317,28.241758823394775,48.362198806762706
sim,Simulation,shoulder_pan.pos,0,77,-54.9971854057312,-26.90945038795467,-2.407033012509359,23.418022141456547,46.60122987747193
sim,Simulation,shoulder_pan.pos,0,78,-55.304263557434076,-21.96483510017398,-3.9516483831405544,15.479559822082532,38.57230757141117
sim,Simulation,shoulder_pan.pos,0,79,-55.16773788070679,-20.518681335449216,-3.871648368835447,9.500219738483462,34.3620222015381
sim,Simulation,shoulder_pan.pos,0,80,-44.423737182617,-17.428571414947513,-4.19340658187866,4.395604372024536,30.25934192657472
sim,Simulation,shoulder_pan.pos,0,81,-37.48536203765871,-16.197361793518066,-3.828571488857266,3.5802197283506536,26.852307004928615
sim,Simulation,shoulder_pan.pos,0,82,-33.020483901977535,-14.005274715423587,-3.495384588241577,1.0918681341409646,20.815473075866695
sim,Simulation,shoulder_pan.pos,0,83,-31.220219947814936,-11.366153640747122,-3.7595603346824618,0.9890110045671463,14.707428175926214
sim,Simulation,shoulder_pan.pos,0,84,-30.298723327636644,-8.763955965042102,-3.636043977737427,1.18769235432148,10.401757926940796
sim,Simulation,shoulder_pan.pos,0,85,-20.88219861030578,-7.846153455972659,-3.309890186786645,-0.5142856933176512,5.874285602569589
sim,Simulation,shoulder_pan.pos,0,86,-15.108043849945028,-7.205274968147263,-3.9085714244842498,-0.6751648348570004,3.7960440297126827
sim,Simulation,shoulder_pan.pos,0,87,-13.213450952529907,-6.407032823562615,-3.946373484134673,-0.7472527623176575,3.542856907844557
sim,Simulation,shoulder_pan.pos,0,88,-9.947779872894278,-6.240878987312308,-3.780219554901123,-0.9230769276618958,3.8857142925262704
sim,Simulation,shoulder_pan.pos,0,89,-8.546285872459416,-6.109889984130859,-3.4092307710647574,-0.7472527623176575,2.3560440540313743
sim,Simulation,shoulder_pan.pos,0,90,-8.131868362426758,-6.015384495258332,-3.674725341796874,-0.9890110343694687,0.9257142961025201
sim,Simulation,shoulder_pan.pos,0,91,-8.206945281028746,-6.137142729759211,-4.131868124008179,-1.5195604681968684,0.04175824251398516
sim,Simulation,shoulder_pan.pos,0,92,-8.052747058868409,-6.109889984130859,-4.110769224166872,-1.7591208112239853,-0.38681319355964583
sim,Simulation,shoulder_pan.pos,0,93,-7.956043243408203,-5.956043839454651,-3.9679120028018944,-1.7107692480087293,-0.5714285373687744
sim,Simulation,shoulder_pan.pos,0,94,-7.956043243408203,-5.969230651855467,-3.9727471351623516,-1.274725317955017,-0.19956044176220908
sim,Simulation,shoulder_pan.pos,0,95,-7.876922369003296,-6.02197790145874,-3.7362637519836426,-1.692307710647583,-0.21802197992801625
sim,Simulation,shoulder_pan.pos,0,96,-7.876922369003296,-5.899780106544494,-4.3041758060455315,-1.738021961450576,-0.026373626664279393
sim,Simulation,shoulder_pan.pos,0,97,-7.958153144836426,-5.934065818786621,-4.307692289352417,-1.7142857313156128,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,98,-7.876922369003296,-5.934065818786621,-4.351648330688477,-1.7142857313156128,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,99,-7.876922369003296,-5.934065818786621,-4.307692289352417,-1.6483516693115234,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,100,-7.876922369003296,-5.934065818786621,-4.219780206680298,-1.6483516693115234,-0.04395604506134987
sim,Simulation,shoulder_lift.pos,1,0,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.66153564453126
sim,Simulation,shoulder_lift.pos,1,1,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.66153564453126
sim,Simulation,shoulder_lift.pos,1,2,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.66153564453126
sim,Simulation,shoulder_lift.pos,1,3,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.66153564453126
sim,Simulation,shoulder_lift.pos,1,4,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.66153564453126
sim,Simulation,shoulder_lift.pos,1,5,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-98.16879138946533
sim,Simulation,shoulder_lift.pos,1,6,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-98.53187103271485
sim,Simulation,shoulder_lift.pos,1,7,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266
sim,Simulation,shoulder_lift.pos,1,8,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266
sim,Simulation,shoulder_lift.pos,1,9,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266
sim,Simulation,shoulder_lift.pos,1,10,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-99.81981460571288
sim,Simulation,shoulder_lift.pos,1,11,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-98.71076597595214
sim,Simulation,shoulder_lift.pos,1,12,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.40483508300781
sim,Simulation,shoulder_lift.pos,1,13,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-95.85819651794434
sim,Simulation,shoulder_lift.pos,1,14,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-75.74311967468257
sim,Simulation,shoulder_lift.pos,1,15,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.0736291885376,-55.5846149253845
sim,Simulation,shoulder_lift.pos,1,16,-100.00003814697266,-100.00003814697266,-100.00003814697266,-84.49845832824704,-43.62444026184081
sim,Simulation,shoulder_lift.pos,1,17,-100.00003814697266,-100.00003814697266,-100.00003814697266,-67.71054796218873,-29.54496696281433
sim,Simulation,shoulder_lift.pos,1,18,-100.00003814697266,-100.00003814697266,-100.00003814697266,-54.89142765045164,-17.233758563995348
sim,Simulation,shoulder_lift.pos,1,19,-100.00003814697266,-100.00003814697266,-97.98768886566161,-45.52769200325012,-6.938637425899493
sim,Simulation,shoulder_lift.pos,1,20,-100.00003814697266,-100.00003814697266,-84.14066162109376,-36.26813201904295,3.2439559054375033
sim,Simulation,shoulder_lift.pos,1,21,-100.00003814697266,-97.25428546905518,-63.04835048675537,-25.266593403816223,8.729406989574455
sim,Simulation,shoulder_lift.pos,1,22,-100.00003814697266,-85.45846229553226,-52.975824966430665,-20.24219729423521,12.994637191772506
sim,Simulation,shoulder_lift.pos,1,23,-100.00003814697266,-72.08703243255616,-40.054944038391106,-13.98395606517791,20.702506074905404
sim,Simulation,shoulder_lift.pos,1,24,-100.00003814697266,-59.49538200378419,-30.234725799560543,-6.677801933288575,25.76492263793948
sim,Simulation,shoulder_lift.pos,1,25,-100.00003814697266,-53.23626375198365,-23.076923131942753,1.126373615115881,33.487911844253546
