Joint,WD Position (rad),Mean Speed Sim (rad/s),Mean Speed Real (rad/s),MSJ Sim (rad^2/s^6),MSJ Real (rad^2/s^6),Jitter Increase (%),Norm. MSJ Sim,Norm. MSJ Real,Norm. Jitter Increase (%)
shoulder_pan,0.18018283187618406,0.22005066716892274,0.1342816000729336,301.7464024030947,53.05231517397457,-82.41824434310789,28316.08944978972,21901.58227759989,-22.653224003844453
shoulder_lift,0.09941727088001401,0.49337553491814906,0.34117887323491813,2196.06076127494,109.78247697623712,-95.0009362713397,18285.544838399463,2764.239688928677,-84.88292411651962
elbow_flex,0.09071939070734125,0.391817268266951,0.27146099320878164,1968.3696396735854,121.03804504037875,-93.85084779805634,32722.669101241445,6050.31365770915,-81.51032961586984
wrist_flex,0.26162506567500055,0.2768026081759853,0.11274014677834829,2598.68330333554,166.77897444074983,-93.58217393298058,122524.33254403864,116306.11337195405,-5.075089203076938
wrist_roll,0.12498133150593711,0.17672359860264747,0.039293869703467814,1973.8722917968103,93.8904947093845,-95.24333488546434,357566.424607531,1522464.8630338605,325.78518514565104
gripper,0.07886573711369302,0.11882872369569496,0.0712142109760893,620.3685741447724,229.2239682066236,-63.050357842089745,369510.45938732056,632935.1135516396,71.29017527706775
