joint,lag_frames,lag_ms,delta_corr
shoulder_pan.pos,0,0.0,0.10312173710220297
shoulder_pan.pos,1,33.33330154418945,0.0031158032022368894
shoulder_pan.pos,2,66.6666030883789,0.30545313178696193
shoulder_pan.pos,3,99.99990463256836,0.3922830948527178
shoulder_pan.pos,4,133.3332061767578,0.5317663045000228
shoulder_pan.pos,5,166.66650772094727,0.5403221616409168
shoulder_pan.pos,6,199.99980926513672,0.4871242751863347
shoulder_pan.pos,7,233.33311080932617,0.317143378871869
shoulder_pan.pos,8,266.6664123535156,0.20616440936779307
shoulder_pan.pos,9,299.9997138977051,0.2884765460470344
shoulder_pan.pos,10,333.33301544189453,0.049111102125517746
shoulder_pan.pos,11,366.666316986084,0.07282129439283389
shoulder_pan.pos,12,399.99961853027344,0.03261061317863804
shoulder_pan.pos,13,433.3329200744629,0.046767734121357846
shoulder_pan.pos,14,466.66622161865234,0.035175523356650265
shoulder_pan.pos,15,499.9995231628418,0.10030010012834306
shoulder_lift.pos,0,0.0,0.17615569935315667
shoulder_lift.pos,1,33.33330154418945,-0.039636140908430595
shoulder_lift.pos,2,66.6666030883789,0.34620101548618143
shoulder_lift.pos,3,99.99990463256836,0.3766499266717385
shoulder_lift.pos,4,133.3332061767578,0.4445472723827062
shoulder_lift.pos,5,166.66650772094727,0.48954083005283566
shoulder_lift.pos,6,199.99980926513672,0.4397912324843265
shoulder_lift.pos,7,233.33311080932617,0.36989217973737293
shoulder_lift.pos,8,266.6664123535156,0.30481015250179033
shoulder_lift.pos,9,299.9997138977051,0.23591794286783638
shoulder_lift.pos,10,333.33301544189453,0.2009017704156658
shoulder_lift.pos,11,366.666316986084,0.1943651248687218
shoulder_lift.pos,12,399.99961853027344,0.15794892297135765
shoulder_lift.pos,13,433.3329200744629,0.17438110684347854
shoulder_lift.pos,14,466.66622161865234,0.1756116636132508
shoulder_lift.pos,15,499.9995231628418,0.19441257999195416
elbow_flex.pos,0,0.0,0.23946693499097796
elbow_flex.pos,1,33.33330154418945,0.10170950048488939
elbow_flex.pos,2,66.6666030883789,0.4139991414734707
elbow_flex.pos,3,99.99990463256836,0.4422113635114974
elbow_flex.pos,4,133.3332061767578,0.5066156215938311
elbow_flex.pos,5,166.66650772094727,0.5018093130962957
elbow_flex.pos,6,199.99980926513672,0.4245999439740107
elbow_flex.pos,7,233.33311080932617,0.3757773519811757
elbow_flex.pos,8,266.6664123535156,0.32366174410812226
elbow_flex.pos,9,299.9997138977051,0.301915000997476
elbow_flex.pos,10,333.33301544189453,0.27843855972465853
elbow_flex.pos,11,366.666316986084,0.2752225302077937
elbow_flex.pos,12,399.99961853027344,0.2651058878195156
elbow_flex.pos,13,433.3329200744629,0.2618661588877619
elbow_flex.pos,14,466.66622161865234,0.25714221358450384
elbow_flex.pos,15,499.9995231628418,0.25777600134717565
wrist_flex.pos,0,0.0,0.15302234110150395
wrist_flex.pos,1,33.33330154418945,0.0974523325510762
wrist_flex.pos,2,66.6666030883789,0.36169897725236005
wrist_flex.pos,3,99.99990463256836,0.48090178396863986
wrist_flex.pos,4,133.3332061767578,0.6058152895655513
wrist_flex.pos,5,166.66650772094727,0.49571143808310747
wrist_flex.pos,6,199.99980926513672,0.36598653698465156
wrist_flex.pos,7,233.33311080932617,0.27976824517717036
wrist_flex.pos,8,266.6664123535156,0.21553624624922657
wrist_flex.pos,9,299.9997138977051,0.24605008478199727
wrist_flex.pos,10,333.33301544189453,0.11844623283726474
wrist_flex.pos,11,366.666316986084,0.16929436138748907
wrist_flex.pos,12,399.99961853027344,0.20235141431308207
wrist_flex.pos,13,433.3329200744629,0.19905701109879068
wrist_flex.pos,14,466.66622161865234,0.1779720475029959
wrist_flex.pos,15,499.9995231628418,0.16950005854841027
wrist_roll.pos,0,0.0,0.003879840804742424
wrist_roll.pos,1,33.33330154418945,-0.06168099354726183
wrist_roll.pos,2,66.6666030883789,0.2463523881193773
wrist_roll.pos,3,99.99990463256836,0.44944915493082016
wrist_roll.pos,4,133.3332061767578,0.5916055220821232
wrist_roll.pos,5,166.66650772094727,0.6155692566842912
wrist_roll.pos,6,199.99980926513672,0.5307961107666508
wrist_roll.pos,7,233.33311080932617,0.4164680556329267
wrist_roll.pos,8,266.6664123535156,0.3224665377332923
wrist_roll.pos,9,299.9997138977051,0.31333045897194345
wrist_roll.pos,10,333.33301544189453,-0.05826324075473539
wrist_roll.pos,11,366.666316986084,-0.07492211899321874
wrist_roll.pos,12,399.99961853027344,-0.08935924824054516
wrist_roll.pos,13,433.3329200744629,-0.05590828225832985
wrist_roll.pos,14,466.66622161865234,-0.027910420829482942
wrist_roll.pos,15,499.9995231628418,-0.009778612003080436
gripper.pos,0,0.0,0.04740416071416274
gripper.pos,1,33.33330154418945,-0.01684720189095286
gripper.pos,2,66.6666030883789,0.10553332300885339
gripper.pos,3,99.99990463256836,0.15714011246677762
gripper.pos,4,133.3332061767578,0.24365551157936852
gripper.pos,5,166.66650772094727,0.23177710712072752
gripper.pos,6,199.99980926513672,0.20921822517859975
gripper.pos,7,233.33311080932617,0.17698352052180516
gripper.pos,8,266.6664123535156,0.18017155447012662
gripper.pos,9,299.9997138977051,0.3088150170419406
gripper.pos,10,333.33301544189453,0.03429276524670554
gripper.pos,11,366.666316986084,0.021922399840065006
gripper.pos,12,399.99961853027344,-0.03863081310932691
gripper.pos,13,433.3329200744629,-0.06976471586638122
gripper.pos,14,466.66622161865234,-0.05238172466812033
gripper.pos,15,499.9995231628418,-0.036664844147621216
