lag_frames,lag_ms,window_start_s,joint,bias_state_minus_action,mae,rmse,p95_abs_error,max_abs_error,normalized_rmse_by_action_range,within_2_units_rate,within_5_units_rate,window
5,166.66650772094727,0.0,shoulder_pan.pos,-0.2175794249794779,0.44215674834312313,0.6043351755107708,1.1408242702484128,3.1131792068481445,0.014212914127985839,0.9890510948905109,1.0,all
5,166.66650772094727,0.0,shoulder_lift.pos,2.874645299448149,3.2194592519289387,3.901232649431752,7.030105784535406,12.47579574584961,0.027885818524461172,0.34306569343065696,0.8175182481751825,all
5,166.66650772094727,0.0,elbow_flex.pos,3.4907677993178368,3.516370178302274,3.8911708973168593,5.925566935539246,8.432975769042969,0.03260006715643227,0.18248175182481752,0.7974452554744526,all
5,166.66650772094727,0.0,wrist_flex.pos,0.8807062267387,0.9725071113475048,1.1933560246482358,2.048077392578125,4.128757476806641,0.022817257183795226,0.9434306569343066,1.0,all
5,166.66650772094727,0.0,wrist_roll.pos,-0.0661119753426879,0.4513321897409258,0.777065415635796,1.331439590454101,6.282196044921875,0.022149266248960794,0.9744525547445255,0.9927007299270073,all
5,166.66650772094727,0.0,gripper.pos,2.7862095553291977,3.1538963125352444,6.008261955703666,16.25362011194229,18.339081048965454,0.17175388263010677,0.7135036496350365,0.7645985401459854,all
5,166.66650772094727,0.9999990463256836,shoulder_pan.pos,-0.21864952883435032,0.45061489485175454,0.6159939332912905,1.1955286026000966,3.1131792068481445,0.014487107869949417,0.9884169884169884,1.0,after_1.0s
5,166.66650772094727,0.9999990463256836,shoulder_lift.pos,2.9393132738049887,3.2773061002888735,3.9598346202576518,7.090762829780577,12.47579574584961,0.028304702521001302,0.3359073359073359,0.8088803088803089,after_1.0s
5,166.66650772094727,0.9999990463256836,elbow_flex.pos,3.559136770119078,3.5835093533095246,3.9456204721082893,6.028334093093872,8.432975769042969,0.033056243418457615,0.16602316602316602,0.7895752895752896,after_1.0s
5,166.66650772094727,0.9999990463256836,wrist_flex.pos,0.9131207079500765,0.9989063270303734,1.218146945520731,2.0998149871826173,4.128757476806641,0.024222286579515046,0.9401544401544402,1.0,after_1.0s
5,166.66650772094727,0.9999990463256836,wrist_roll.pos,-0.07629061665774313,0.4676364618838984,0.7976324659211478,1.3647052764892562,6.282196044921875,0.02297715709536058,0.972972972972973,0.9922779922779923,after_1.0s
5,166.66650772094727,0.9999990463256836,gripper.pos,2.956333500883294,3.322027165802289,6.179455767917727,16.379255509376524,18.339081048965454,0.1766476775656125,0.696911196911197,0.750965250965251,after_1.0s
