mean_abs_delta_per_frame_all_joints,p95_abs_delta_per_frame_all_joints,max_abs_delta_per_frame_all_joints,rms_velocity_all_joints,rms_acceleration_all_joints,rms_jerk_all_joints,series,window
0.6091869748264983,2.0333765029907225,19.878636837005615,38.4696195130089,1473.8000085712738,76025.04828836927,policy_action,all
0.6057341419835961,2.0339029312133787,19.878636837005615,38.33432596906746,1465.5801317697938,75447.66940702376,policy_action,after_1.0s
0.3809980490933294,1.7555703163146972,9.846154689788818,25.63105467895395,716.6763758383995,35566.72111722064,robot_state,all
0.37507203171840875,1.6703317642211915,9.846154689788818,25.09690166745421,696.6116030248318,34680.551721127704,robot_state,after_1.0s
