lag_frames,lag_ms,window_start_s,joint,bias_state_minus_action,mae,rmse,p95_abs_error,max_abs_error,normalized_rmse_by_action_range,within_2_units_rate,within_5_units_rate,window
0,0.0,0.0,shoulder_pan.pos,-0.2253360318771107,1.3354279103589533,1.9606722459392525,4.5167181015014615,9.6521577835083,0.046111607256862495,0.8047016274864376,0.9674502712477396,all
0,0.0,0.0,shoulder_lift.pos,2.814552496990718,5.081045460151289,6.842894427468902,14.371957778930664,21.09498405456543,0.048912671797268735,0.28933092224231466,0.6383363471971067,all
0,0.0,0.0,elbow_flex.pos,3.4579565522360327,4.5414100627248155,5.679616474393723,10.816682434082031,15.125946044921875,0.0475835894577871,0.28933092224231466,0.6184448462929476,all
0,0.0,0.0,wrist_flex.pos,0.903871005094504,1.67949821030684,2.343937292067492,4.952269744873045,10.864303588867188,0.044816650614855194,0.7106690777576854,0.9511754068716094,all
0,0.0,0.0,wrist_roll.pos,-0.059523239273705925,1.0769362492759664,2.6482949658219037,4.727552795410148,21.088417053222656,0.07548629642174719,0.8933092224231465,0.9511754068716094,all
0,0.0,0.0,gripper.pos,2.8579247134719146,3.738256402192452,6.283479065748563,16.252324962615965,18.339081048965454,0.17962131710033244,0.6112115732368897,0.7106690777576854,all
1,33.33330154418945,0.0,shoulder_pan.pos,-0.22489970074831575,1.1489120075020238,1.6817730491035359,3.61398449540138,8.457547187805176,0.0395523823505181,0.8478260869565217,0.9836956521739131,all
1,33.33330154418945,0.0,shoulder_lift.pos,2.8317791587956576,4.598067100011352,6.172687961955837,12.993057632446288,19.243305206298828,0.04412206904407478,0.3170289855072464,0.6739130434782609,all
1,33.33330154418945,0.0,elbow_flex.pos,3.463620939278516,4.150009996055261,5.199145500099669,9.688258171081538,13.8326416015625,0.04355822371517651,0.3188405797101449,0.6304347826086957,all
1,33.33330154418945,0.0,wrist_flex.pos,0.8863402207692465,1.4868869608727053,2.0272156938911547,3.9730033874511705,9.517646789550781,0.0387608566925156,0.7518115942028986,0.9746376811594203,all
1,33.33330154418945,0.0,wrist_roll.pos,-0.06043081698210343,0.9532395929530046,2.3112408939855817,3.7595199584960923,19.219192504882812,0.06587899666656406,0.9003623188405797,0.9565217391304348,all
1,33.33330154418945,0.0,gripper.pos,2.8438600045831306,3.6124530921595683,6.210491169703441,16.25258399248123,18.339081048965454,0.17753486437520585,0.6304347826086957,0.7228260869565217,all
2,66.6666030883789,0.0,shoulder_pan.pos,-0.22333372931947726,0.9024321121009854,1.3457701165022027,2.647124759852886,7.378819465637207,0.03165017671805935,0.8892921960072595,0.9872958257713249,all
2,66.6666030883789,0.0,shoulder_lift.pos,2.8550298280486612,4.042228238498234,5.396515951509441,11.65630555152893,17.535869598388672,0.038574029803137164,0.3502722323049002,0.720508166969147,all
2,66.6666030883789,0.0,elbow_flex.pos,3.46535962046599,3.800929878941465,4.699188407070529,8.372029781341553,12.669601440429688,0.03936960408417462,0.3393829401088929,0.6533575317604355,all
