series,joint,range,path_length_sum_abs_delta,mean_abs_delta_per_frame,p95_abs_delta_per_frame,max_abs_delta_per_frame,rms_velocity,p95_abs_velocity,rms_acceleration,p95_abs_acceleration,rms_jerk,p95_abs_jerk
policy_action,shoulder_pan.pos,42.520145416259766,205.3320770263672,0.3719784004100855,1.18252830505371,6.7218780517578125,21.207784575205192,35.47588298404976,819.3068316213078,1844.075859212837,42568.85854702968,84236.16438698942
policy_action,shoulder_lift.pos,139.90023803710938,630.418083190918,1.1420617449110833,2.797876358032221,13.749580383300781,55.410342795326756,83.93637078892766,2125.308901943001,5247.634787811823,110370.59944589603,243206.85426699347
policy_action,elbow_flex.pos,119.36082458496094,514.8137359619141,0.9326335796411487,2.6164184570312465,9.035018920898438,44.00244838607679,78.4926285673413,1650.2263694072485,4167.142805368077,85180.03788923183,198164.00918146188
policy_action,wrist_flex.pos,52.30059051513672,229.61193084716797,0.4159636428390724,1.6670005798339815,8.1776123046875,25.642389220205164,50.01006508833409,941.183378077399,2117.0488682706045,46886.86844748106,107314.97644865257
policy_action,wrist_roll.pos,35.08312225341797,171.5908432006836,0.3108529768128326,1.4153163909912088,10.984939575195312,25.768231497060995,42.459532222301625,893.4501665574309,1538.4939927926239,45312.15194003531,81970.5367196802
policy_action,gripper.pos,34.98181155323982,265.8605903983116,0.4816315043447674,1.98500576019287,19.878636837005615,45.84369306888514,59.5502295973106,1853.912284060627,4520.913545439509,95801.16107015939,189894.07873791963
robot_state,shoulder_pan.pos,41.58241844177246,144.08790731430054,0.26102881759837054,1.0549449920654297,3.340659499168396,15.36400287894954,31.64837994421,395.47588971843817,712.0887986916716,19260.09885212511,36909.99930371494
robot_state,shoulder_lift.pos,144.70329666137695,480.70328068733215,0.8708392766074858,3.2527470111846926,9.846154689788818,45.04214241752054,97.58250339746799,1345.9609013662393,3164.8444458826766,67538.7016290878,159270.75187497112
robot_state,elbow_flex.pos,113.23076629638672,312.17582988739014,0.5655359237090402,2.149449348449701,5.714285850524902,30.38511168481271,64.48354194978882,811.7995228645441,1898.9046075891536,40329.285056482644,92571.86557324587
robot_state,wrist_flex.pos,50.81318473815918,128.5274772644043,0.23283963272537012,1.2307680130004883,3.5164833068847656,15.306072561405763,36.92307560260353,385.2602592018031,751.6482384641267,18468.357168554507,33230.78507638946
robot_state,wrist_roll.pos,34.28571319580078,100.21978759765625,0.18155758622763812,1.0065910339355408,5.010986328125,17.561160240811848,30.197759816894177,391.95526156546276,474.73044343989767,18364.891903741358,18989.16718239519
robot_state,gripper.pos,34.098581075668335,96.15125584602356,0.17418705769207166,1.0128290414810182,6.076974868774414,14.523545963419535,30.38490022172949,390.72417258441453,486.15967971696455,18780.883268256515,19233.709062168193
